year,county_fips,total_live_work,total_commute_in,total_commute_out,net_commute
2021,087,7849,4124,-6642,-2518
2021,089,3687,1902,-3591,-1689
2021,091,881,1101,-1150,-49
2021,093,1055,1409,-5522,-4113
2021,095,1071,611,-903,-292
2021,097,6040,9819,-3544,6275
2021,099,2799,1382,-2095,-713
2021,101,36926,16061,-22125,-6064
2021,103,1650,966,-882,84
2021,105,2014,1421,-2622,-1201
2021,107,8385,4868,-4417,451
2021,109,677,702,-1142,-440
2021,111,150,158,-133,25
2021,113,2871,2819,-855,1964
2021,115,430,248,-495,-247
2021,117,8537,12452,-7842,4610
2021,119,3882,3576,-6931,-3355
2021,121,743,371,-1183,-812
2021,123,51872,41819,-109007,-67188
2021,125,2580,1109,-1286,-177
2022,001,74379,169772,-181473,-11701
2022,003,3953,3745,-3239,506
2022,005,108248,232023,-219274,12749
2022,007,3229,1456,-1780,-324
2022,009,962,318,-438,-120
2022,011,425,417,-1144,-727
2022,013,76437,109867,-65680,44187
2022,014,4657,37351,-33891,3460
2022,015,5330,3159,-3887,-728
2022,017,306,288,-304,-16
2022,019,1064,2541,-3564,-1023
2022,021,893,591,-1460,-869
2022,023,423,308,-683,-375
2022,025,274,468,-891,-423
2022,027,570,426,-962,-536
2022,029,4550,2614,-5659,-3045
2022,031,164277,390055,-194070,195985
2022,033,214,255,-498,-243
2022,035,47566,91362,-144486,-53124
2022,037,17098,16804,-12817,3987
2022,039,1678,3017,-13336,-10319
2022,041,206108,70973,-84690,-13717
2022,043,7194,3740,-10742,-7002
2022,045,15766,7770,-15117,-7347
2022,047,809,3427,-2069,1358
2022,049,3446,3963,-3439,524
2022,051,5471,3091,-3569,-478
2022,053,169,98,-235,-137
2022,055,899,574,-1420,-846
2022,057,334,131,-317,-186
2022,059,92688,157290,-205280,-47990
2022,061,309,121,-341,-220
2022,063,1674,1039,-1184,-145
2022,065,1220,720,-3652,-2932
2022,067,17033,7836,-5841,1995
2022,069,91525,62349,-68627,-6278
2022,071,3251,1303,-2725,-1422
2022,073,818,878,-1215,-337
2022,075,4330,2449,-4761,-2312
2022,077,49375,14403,-14730,-327
2022,079,208,144,-229,-85
2022,081,2981,1236,-3638,-2402
2022,083,5941,2323,-3743,-1420
2022,085,9782,4995,-7390,-2395
2022,087,8028,4316,-7425,-3109
2022,089,3409,1940,-3813,-1873
2022,091,929,1137,-1203,-66
2022,093,1205,1494,-6000,-4506
2022,095,1115,645,-985,-340
2022,097,6854,11018,-3838,7180
2022,099,2898,1523,-2330,-807
2022,101,39649,16785,-24074,-7289
2022,103,1819,1157,-1064,93
2022,105,2111,1596,-2827,-1231
2022,107,8925,5693,-4680,1013
2022,109,722,784,-1272,-488
2022,111,192,156,-169,-13
2022,113,3096,3151,-931,2220
2022,115,329,208,-452,-244
2022,117,9311,12843,-8311,4532
2022,119,4139,3544,-7226,-3682
2022,121,770,348,-1289,-941
2022,123,59385,46882,-119420,-72538
2022,125,2477,1134,-1409,-275
